mot,lemme
Cil,cil
qui,qui1
fist,faire
d',de
Erec,Erec
et,et
Enide,Enide
Et,et
les,le
comandemanz,comandement
Ovide,Ovide
l',li
art,ardre
amors,amour1
an,an
romans,romanz
mist,mettre
le,le
mors,mors
de,de
espaule,espaule
Del,de.le
roi,roi1
Marc,
Ysalt,Iseut
la,le
blonde,blond
hupe,hupe
aronde,aronde
del,de.le
rossignol,rosseignol
muance,müance
.I.,un
novel,nouveau
conte,compter
rancomance,rencomencier
D',de
un,un
vaslet,vaslet
Grece,Grece
fu,être1
linage,lignage
Artu,Artu
Mes,mais1
ainz,ains
que,que
lui,lui
rien,rien
vos,vous
die,dire1
Orroiz,öir
son,son4
pere,père
vie,vie
Dom,dont
il,il
quel,quel
Tant,tant
preuz,pro
fier,fier2
corage,courage
Que,que
por,pour
pris,prix
los,los1
conquerre,conquérir
Ala,aller
Engleterre,Angleterre
Qui,qui1
lors,lors
estoit,être1
Bretaigne,Bretagne
dite,dire1
Ceste,cist
estoire,estoire1
trovons,trover
escrite,écrire
conter,compter
vuel,vouloir
retraire,retraire
En,en1
.i.,un
des,de.le
livres,livre1
aumaire,armaire
Monseignor,seignor
saint,saint
Pere,père
a,à
Biauvez,Biauvez
De,de
li,le
contes,comte
estrez,estraire
tesmoingne,tesmoignier
voire,voire1
Por,pour
ce,ce1
fet,foi1
ele,elle1
mialz,mieus
croire,croire
Par,par1
nos,notre
avons,avoir1
Les,le
fez,faire
anciens,ancien
savons,savoir1
siegle,siecle
jadis,jadis
Ce,ce1
ont,avoir1
nostre,notre
livre,livre1
apris,apprendre
Qu',que
ot,avoir1
chevalerie,chevalerie
Le,le
premier,premier1
clergie,clergie
Puis,puis
vint,venir
Rome,Rome
some,some2
or,or1
est,être1
France,France
venue,venue
Dex,Dieu
doint,doner
qu',que
i,y2
soit,être1
maintenue,maintenir
leus,lieu1
abelisse,abelir
ja,jà
mes,mais1
n',ne1
isse,issir
L',le
enors,onor
s',son4
arestee,arester
avoit,avoir1
as,à.le
altres,autre
prestee,prester
Car,car
Grezois,Gregois
ne,ne1
Romains,Romain
Ne,ne2
dit,dire1
plus,plus
mains,main1
ax,eux
parole,parole
remese,remanoir
estainte,éteindre
vive,vif
brese,brese
Crestiens,Crestiien
comance,commencer
Si,si4
con,comme
reconte,reconter
trez,tref2
empereor,empereur
Puissant,poissant
richesce,richece
enor,onor
tint,tenir
Costantinoble,
Empereriz,empererriz
cointe,cointe
noble,noble1
Don,dont
emperere,empereur
.ii.,deus
enfanz,enfant
premiers,premier1
si,si4
granz,grand
autres,autre
nessance,naissance
eüst,avoir1
se,se1
pleüst,plaire
Poïst,pöoir
chevaliers,chevalier
devenir,devenir
tot,tout2
empire,empire1
maintenir,maintenir
Li,le
non,non
Alixandres,Alixandre
Alis,Aelis
apelez,appeler
mandres,petit
Tantalis,Tantalis
mere,mère
empereriz,empererriz
La,le
tant,tant
lesseron,laissier
Alixandre,Alexandrie
conteron,conter
corageus,corajos
fiers,fier3
deigna,daigner
Devenir,devenir
sa,son4
region,regïon
Oï,öir
feire,faire
menssion,mencïon
Artus,Artu
reignoit,regner
barons,baron
tenoit,tenir
An,en1
conpaignie,compagnie
toz,tout2
jorz,jour
dotee,doter2
corz,cour
renomee,renommée
par,par1
monde,monde1
Comant,coment1
fins,fin1
responde,respondre1
comant,command1
en,en1
aveingne,avenir
N',ne1
riens,rien
nee,naître
deteingne,detenir
El,en1.le
mont,mont
voist,aler
Breteingne,Bretaigne
droiz,droit1
congié,congé
preingne,prendre
A,à
aille,aler
Cornoaille,Cornoaille
prandre,prendre
demander,demander
Va,aller
parler,parler
biax,beau
Ja,jà
dira,dire1
quex,quel
ses,son4
veuz,vo
vialt,voloir
anprandre,emprendre
«,«
Biau,bel1
aprandre,aprendre
Un,un
don,don
querre,quérir
os,us
je,je
me,me
doingniez,doner
porloigniez,porloignier
Se,se1
otroier,otroiier
devez,devoir2
»,»
cuide,cuidier1
estre,être1
grevez,grever
empereres,empereur
po,pour
bien,bien
fil,fils
sor,sur1
tote,tout2
Doit,devoir
voloir,voloir
covoitier,covoitier
Mout,moult
cuideroit,cuidier1
esploitier,esploitier
Cuideroit,cuidier1
feroit,faire
S',si3
acroissoit,acroistre
Biax,beau
filz,fils
otroi,octroi
Vostre,votre
pleisir,plaisir
dites,dire1
moi,moi
volez,vouloir
doingne,doner
Or,or1
feite,faire
besoingne,besogne
vaslez,vaslet
mout,moult
liez,lié
Qant,quand
dons,don
otroiez,otroiier
desirroit,desirrer
avoir,avoir1
Sire,sire
savoir,savoir1
m',me
avez,avoir1
acreanté,acreanter
Je,je
grant,grand
planté,plenté
vostre,votre
argent,argent
conpaignons,compagnon
gent,gent1
Tex,tel
voldrai,voloir
eslire,élire
issir,issir
irai,aller
presanter,presenter
mon,mon1
servise,service
Au,a3.le
Bretaingne,Bretagne
justise,justice
chevalier,chevalier
face,faire
avrai,avoir
armee,armer
hiaume,heaume
el,el1
chief,chef
jel,je.le
plevis,plevir
nul,nul
jor,jour
soie,soie
vis,vis3
rois,roi1
ceingne,ceindre
espee,épée
deingne,deignier
autrui,autrui
armes,arme
sanz,sans
atandre,atendre
Respont,répondre
Deu,Dieu
Cist,cist
païs,pays
vostres,votre
quites,quitte
riche,riche
tenir,tenir
chiche,chiche1
bel,beau
doner,donner
Demain,demain
ferai,faire
coroner,coroner
seroiz,estre1
demain,demain1
Tote,tout2
iert,être1
main,main1
noz,notre
recevrez,recevoir
reçoivre,recevoir
seiremanz,sairement
homages,hommage1
refuse,refuser
pas,pas1
sages,sage1
antant,entendre
promesse,promesse
