modern|old_french
yo, c'est amir, 18 ans, de la cité de lyon. quand j'pense aux voyages, je me sens comme si j'étais perdu dans mes propres rêves. j'ai toujours envie de prendre le premier train pour n'importe où, pour sortir de cette routine qui m'étouffe, pour voir si le monde est réellement comme on me l'a décrit. car, pour moi, les voyages, c'est comme une porte qui s'ouvre sur l'inconnu, un moyen de fuir la violence, la pauvreté, tout ce qui m'empêche de grandir.|oyé, c'est amir, dix-huit ans, de la cité de lyon. quand je songe aux voyages, il me semble estre comme perdu ès mes propres songes. j'ay tousjours envie de prendre le premier train pour quelque part, afin de m'esloigner de ceste routine qui m'étouffe, pour veoir si le monde est vraiment tel qu’on me l’a décrit. car, pour moi, les voyages sont comme une porte qui s'ouvre sur l'inconnu, une manière de fuir la violence, la pauvreté, tout ce qui m’empesche de croistre.
hey, hey, ma belle! c'est ta grand-mère, lulu, qui te laisse un message vocal, tout fraîchement sorti de mon téléphone rose, avec des emojis qui font battre mon cœur! écoute, je voulais te dire que j'ai pris l'habitude de boire un smoothie vert chaque matin, avec des feuilles de menthe fraîches et des framboises bio, et ça me fait sentir comme une reine de la jungle, prête à affronter la journée avec énergie et vitalité!|hé, hé, ma moult gente damoiselle! c'est ta bonne aïeule, lulu, qui te laisse un message de voix, tout nouvellement escript hors de mon téléphon rosé, avec ceurs enjois qui font batre mon cœur! escoute, je vouloye te dire que j'ay pris l'usaige de boire un breuvage verde chascun matin, avec des fueilles de menthe fraîches et des framboises biologiques, et cela me fait sentir telle une royne de la forest, toute preste à affronter la journée avec énergie et vitalité!
salut tout le monde, c'est victor. je repensais à ce jour où on a tous décidé de camper spontanément au bord du lac après notre expo de fin d'année. on avait passé la nuit à discuter sous les étoiles, entourés par nos toiles et nos rêves d'artistes en herbe. ce moment m'a vraiment marqué, et je suis tellement reconnaissante de vous avoir dans ma vie pour partager ces souvenirs magiques. vous me manquez !|seigneurs et dames, je vous salue, c'est victor. je me souvenois de ce jour où nous avions tous décidé de camper de manière spontanée aupres du lac après nostre exposition de fin d'année. nous passâmes la nuit à deviser sous les étoiles, entourés de nos toiles et de nos songes d'artistes en herbe. ce moment me marqua moult fort, et je suis tellement reconnaissant(e) de vous avoir en ma vie pour partager ces souvenirs magiques. vous me manquez fort!
salut tout le monde ! aujourd'hui, c'était un jour super cool parce qu'on a fait un pique-nique en famille dans le jardin. maman avait préparé plein de trucs délicieux comme des sandwichs au jambon, des chips croustillantes et même des cookies au chocolat. on a mangé tous ensemble sous le grand cerisier, et c'était comme un festin géant en plein air !|saluz tout le monde ! en ce jour, fu moult bon et chault, car nous feîmes ung pique-nique en famille ès le vergié. ma mère avoit apprêté maintes choses délectables, telles que des pains garnis de jambon, des escailles croustillantes, et mesmes des eschaudés de chocolat. nous festoyâmes ensemble soubz le grand cerisier, et ce fu comme ung banquet géant en pleine nature !
chère sophie, tu ne devineras jamais ce qui m'est arrivé hier en pleine jungle urbaine de tokyo : j'ai testé un cours de danse traditionnelle japonaise et j'ai réussi à me prendre les pieds dans mon propre kimono ! heureusement, mes talents en improvisation m'ont permis de transformer ça en une performance de breakdance inattendue. après ça, direction un café à chats où j'ai tenté de méditer, mais les ronronnements de mes nouveaux amis félins ont eu raison de mon sérieux. ah, la vie d'une voyageuse solo n'est jamais ennuyeuse ! amitiés félines, léa l'aventurière|chère sophie, tu ne devineras ja mie ce qui m'est advenu hier en plaine jungle urbaine de tokyo : j'ai essayé une leçon de dance traditionnelle japonaise et j'ai réussi à me prendre les pieds en mon propre kimono ! par bonheur, mes talens en improvisation m'ont permis de transformer cela en une exhibition de dance de rupture non prévue. après cela, chemin vers un café à chaz où j'ai tenté de méditer, mais les ronronnans de mes nouveaux compains félins ont eu raison de mon sérieux. ah, la vie d'une voyageuse seule n'est ja mie ennuyeuse ! amitiés félines, léa l'aventurière
bonjour à tous, ici marcel dupré, artisan potier dans notre belle campagne. l'autre jour, j'ai fait une rencontre bien singulière : un jeune ingénieur en visite dans la région m'a montré son smartphone bourré de technologies. même si je suis attaché aux traditions et à la terre qui façonne mes créations, j'ai été fasciné par la façon dont il utilise cet appareil pour partager son travail avec le monde entier. cela m'a donné à réfléchir sur comment, peut-être, allier mon savoir-faire ancestral avec ces nouvelles technologies pour faire découvrir mes poteries au-delà des collines de notre village.|bien le bon jour à tous, céans marcel dupré, ouvrier potier en nostre belle contrée champestre. l'autre jour, je fis une rencontre moult singulière : un jeune engigneor en visitation en la région me monstra son engin portatif, tout rempli de nouvelles mécaniques. quoy que je soye fort attaché aux traditions et à la terre qui façonne mes euvres, je fus émerveillé par la manière dont il use de ce dispositif pour partirager son labeur avec le vaste monde. cela me donna à penser comment, peut-être, joindre mon art ancien avec ces nouvelles mécaniques pour faire connoistre mes poteries par-delà les monts de nostre village.
yo, c’est lila. alors voilà, l’autre jour, j’étais en mode tempête, genre le coeur en vrac total, quand j’ai croisé ce vieux chien dans la rue. il m’a regardé avec ses yeux fatigués, et j’ai senti une vague de calme, un truc de ouf. c’est dingue comment une simple rencontre peut te retourner l’âme, t’sais ?|salut, c'est lila. lors, l'autre jour, j'estoie en moult grande tempeste, car mon coeur estoit tout en desroy, quant je rencontray un viel chien en la rue. il me regarda de ses yeux las, et je sentis une vague de paix, une chose moult estrange. c'est merveillable comment une simple rencontre peut te bouleverser l’âme, sçais-tu ?
ah, laissez-moi vous raconter une petite histoire de ma cuisine. c'était un jeudi matin, alors que je m'apprêtais à préparer ma fameuse sauce béarnaise, que mon jeune apprenti, pierre, a confondu le vinaigre de vin blanc avec son jus de pomme du matin! imaginez ma tête en découvrant une béarnaise sucrée! j'ai ri, mais seulement après l’avoir gentiment sermonné avec une leçon sur l’importance de la discipline et de la précision culinaire. après tout, même un chef perfectionniste comme moi, jean-luc moreau, doit admettre que la cuisine est parfois un théâtre d’erreurs savoureuses!|ah, laissez moy vous raconter une petite histoire de ma cuisine. c'étoit un jeudi matin, lors que je me preparoie à apprester ma fameuse sauce béarnaise, que mon jeune aprentif, pierre, confondit le vinaigre de vin blanc avec son jus de pomme du matin! imaginez ma face en découvrant une béarnaise douce! je ris, mais seulement après l'avoir doucement sermonné avec une leçon sur l’importance de la discipline et de la précision culinaire. après tout, même un chef perfectionniste comme moy, jean-luc moreau, doibt admettre que la cuisine est parfoys un théâtre d’erreurs savoureuses!
ah, mes chers enfants, laissez-moi vous raconter un moment de ma jeunesse, un instant où le cœur semblait danser dans ma poitrine. c'était une douce soirée d'été, et j'étais assise sous le grand chêne du jardin, celui-là même qui a écouté tant de mes confidences. mon antoine m'avait pris la main, et dans le silence complice de ce crépuscule doré, j'ai ressenti une paix profonde, une certitude que l'amour vrai peut traverser le temps. ces souvenirs, voyez-vous, sont comme des trésors que je garde précieusement, car ils me rappellent que les émotions sincères sont la véritable richesse de la vie.|ah, mes chiers enfans, laissez moy vous conter ung moment de ma jeunesse, ung instant où le cueur sembloit dancer en ma poictrine. c’estoit une doulce vesprée d’esté, et j’estois assise dessoubs le grant chesne du jardin, celuy-là mesme qui a escouté moult de mes secrez. mon antoine m’avoit prins la main, et en le silence complice de ce crepuscule doré, j’ay ressenty une paix profonde, une certitude que le vray amour puet trespasser le temps. ces souvenances, voyez-vous, sont comme des thresors que je garde precieusement, car ils me rappellent que les emotions sinceres sont la vraye richesse de la vie.
je me souviens de notre petit appartement à montmartre, un véritable cocon où chaque recoin était imprégné de créativité et de rêves. mes pinceaux trouvaient toujours leur place parmi les livres d'art empilés sur le parquet grinçant, et la lumière douce du matin traversait les grandes fenêtres, caressant les toiles inachevées. c'était là, entre ces murs tapissés d'affiches dépareillées, que je me suis découvert une passion inaltérable pour la peinture, et même si l'espace était minuscule, il contenait tout un univers d'inspiration.|je me souviegne de nostre petit logis à montmartre, ung véritable cocon où chascun recoin estoit empreint de créativité et de songes. mes pinceaulx trouvoient tousjours leur place parmi les livres d'art empilés sur le parquiez grinçant, et la doulce lumière du matin traversoit les grandes fenestres, carressant les toiles inachevées. c'estoit là, entre ces murs tapissés de placards dépareillés, que je me suis descouvert une passion inaltérable pour la painture, et mesmes si l'espace estoit exigu, il contenoit tout ung univers d'inspiration.
bonjour mon petit lucien, c'est papi gérard. je voulais te raconter que, dimanche dernier, on a eu une belle fête au club des anciens. on a même fait un petit tournoi de pétanque, tu sais, ça m'a rappelé mes jeunes années sur la place du village. bon, j'ai pas gagné, mais l'important c'était de s'amuser et de partager un bon moment entre amis. prends bien soin de toi, mon grand, et passe me voir quand tu pourras.|bonjour mon petit lucien, c’est papi gérard. je te vouloye raconter que, dimanche dernier, nous eûmes une belle fête au club des anciens. nous fîmes mesmes un petit tournoi de pétanque, sçais-tu, cela me ramentevoit mes jeunes années en la place du village. ma foy, je ne gagnay point, mais l’important estoit de nous esbattre et de partager un bon moment entre amis. prens bien soin de toy, mon grant, et passe me veoir quand tu pourras.
salut mes chéris ! c'est jade, votre influenceuse lifestyle préférée. aujourd'hui, on va parler de la famille, cette joyeuse bande d'individus qui pense que votre temps leur appartient. vous savez, ces gens merveilleux qui peuvent transformer un brunch paisible en débat sur votre futur mariage inexistant. alors, levons nos verres à ces êtres fantastiques qui nous rappellent que la sérénité est surcotée !  #famillegoals #ironiemondiale|salutz, mes tres cherz ! c'est jade, vostre influenceuse de vie mondaine préférée. en ce jour, nous deviserons de la famille, ceste joyeuse troupe d'ames qui cuident que vostre temps leur appartient. vous sçavez, ces gens mervaillables qui pevent tourner ung brunch paisible en débat de vostre futur mariage inexistant. doncques, levons nos couppes à ces créatures fantastiques qui nous remembrent que la sérénité est bien souvent surcotée !  #butzfamille #ironieuniverselle
cher antoine, j'espère que tout va bien de ton côté. ici, entre les révisions pour mes cours du soir et les préparatifs pour notre prochain voyage en italie, le temps file à une vitesse folle. j'essaie de jongler au mieux avec mon emploi du temps pour concilier études et moments précieux avec toi. hâte de partager de nouvelles aventures ensemble ! amicalement, marc|cher antoine, espoir ai que tout soit bien de vostre costé. ici, entre les revisions pour mes leçons du soir et les preparatifs pour nostre prochain voyage en italie, le temps s'enfuit à une vitesse moult grande. m'efforce de jongler au mieulx avec mon emploi du temps pour accorder estudes et moments précieux avec toy. suis en haste de partager nouvelles aventures ensemble! amicalement, marc
chère confidente pixel, aujourd'hui, mon cœur bat la chamade après une discussion orageuse avec élise, ma fille, au sujet de notre voyage à lisbonne. elle veut tout planifier sur son fichu smartphone, alors que j'ai envie de flâner au gré de mes envies, le nez au vent et le sourire aux lèvres. mais bon, on finira bien par se retrouver autour d'un bon pastel de nata, et tout ça ne sera qu'un doux souvenir. allez, je file, mes baskets m'appellent pour une balade digitale dans le parc ! avec amour, mamie lola |chère confidente pixel, en ceste jour, mon cueur bat la chamade après une parolle orageuse avec élise, ma fille, touchant nostre voyage à lisbonne. elle veult tout ordonner sur son maudict esmartphone, tandis que j'ay envie de flâner au gré de mes désirz, le nez au vent et la risée aux lèvres. mais bon, nous nous retrouverons bien auprès d'un bon pastel de nata, et tout cela ne sera qu’un doulx souvenir. or sus, je m'en vais, mes chausses me appellent pour une balade digitale en la parc ! avec amour, mamie lola 
oh, ma petite margaux, laisse-moi te raconter une petite histoire qui remonte à quelques années. je me souviens de m'être assise chaque matin avec une tasse de thé fumant et mon journal papier, prête à découvrir les nouvelles du monde. puis un jour, ton oncle marcel m'a offert une petite tablette, une de ces machines modernes, et je te promets, j'ai bien ri en pensant que je ne saurais jamais m'en servir. eh bien, ma chérie, aujourd'hui, c'est avec cette tablette que je lis les nouvelles, et je me sens toujours connectée au monde, sans avoir à me tacher les doigts d'encre!|ô, ma petite margaux, laisse-moi te conter une menue histoire qui s'en retourne à quelques années passées. je me rappelle de m'estre assise chascun matin avec une tasse de thé fumante et mon journal de papier, toute prête à descouvrir les nouvelles du monde. puis, un jour, ton oncle marcel me donna une petite tablette, une de ces machines modernes, et je te promets, je me gaussai bien en pensant que jamais ne saurai-je m'en servir. hé bien, ma chérie, aujourd'hui, c'est avec ceste tablette que je lis les nouvelles, et je me sens toujours connectée au monde, sans avoir à me souiller les doigts d'encre !
bonjour, c'est gérard, le retraité qui se prend pour un jeune en surfant sur cette toile mondiale ! figurez-vous que j'ai enfin rencontré quelqu'un, oh oui, pas sur un banc au parc mais sur cet internet magique. et tenez-vous bien, elle me propose déjà de m'installer chez elle, comme si changer de logement était aussi simple que de cliquer sur un bouton ! ah, vraiment, la modernité, c'est fascinant... et un brin effrayant !|bon jour, c'est gérard, le retraité qui se pense estre ung jeune en naviguant sur ceste toile universelle ! or, sachez que j'ay enfin rencontré quelqu'un, oïl, non pas sur ung banc au parc mais par cest internet merveilleux. et tenez-vous bien, elle me propose desjà de m'installer chez elle, comme si mue de logement estoit aussi aisé que de apuyer sur ung bouton ! ah, véraiment, la modernité, c'est fort fascinante... et un peu effrayante !
 ah, les jours où mes cahiers de médecine partageaient la place avec des cartes postales! entre deux dissections et trois examens, je rêve encore du café italien bu à la hâte, des rues animées de lisbonne, ou des nuits étoilées à tokyo. parfois, je me demande si je ne suis pas en train d’échanger mes voyages contre des nuits blanches en bibliothèque... mais bon, chaque page tournée me rapproche un peu plus du monde que je veux explorer en blouse blanche. — paul, étudiant en médecine et voyageur dans l'âme. ‍🩺|ah, les jours où mes cahiers de médecine se partageoient la place avecques des cartes postales! entre deux dissections et trois espreuves, je rêve encore du café italien beu hastivement, des rues bruyantes de lisbonne, ou des nuictz étoilées à tokyo. parfois, je me demande si je n'échange point mes voyages contre des nuictz blanches en librairie... mais bon, chascune page tournée me raproche un petit peu plus du monde que je desire explorer en robe blanche. — paul, estudiant en médecine et voyageur en l'âme.
chers amis, c'est emma, votre guide à travers les petites merveilles du quotidien.  aujourd'hui, alors que la pluie tambourine doucement contre ma fenêtre, je me surprends à réfléchir à quel point la technologie a transformé notre façon de vivre ces instants. elle nous connecte aux autres, peu importe la tempête qui gronde dehors, et nous permet de partager ensemble ces moments de poésie météorologique. n'oublions pas de savourer ces moments simples que la vie et la technologie nous offrent.  avec tout mon amour, emma|chiers amys, c'est emma, vostre guide à travers les petites merveilles du quotidien. en ceste journée, lors que la pluye tambourine doucement contre ma fenestre, je me surprens à penser combien la technologie a transformé nostre manière de vivre ces instants. elle nous connecte aux aultres, quel que soit l'assault de la tempeste dehors, et nous permet de partager ensemble ces moments de poësie météorologique. n'oublions mie de savourer ces simples moments que la vie et la technologie nous offrent. avec tout mon amour, emma
"yo, c’est luna, 16 ans, et franchement, les loisirs, c’est un concept inventé par les adultes pour nous empêcher de dormir jusqu’à midi, j’vous jure. genre, pourquoi s’épuiser à faire du sport quand on peut s’entraîner à zapper entre netflix et tiktok sans bouger du canapé ? franchement, mon plus grand hobby, c’est de débattre avec maman sur le fait que ""scrolling"" c’est aussi productif que ses cours de yoga bizarre ! bref, vive la liberté... et les snacks !"|"oyé, c'est luna, de seize ans, et par ma foy, les passe-temps, c’est une invention des gens de grand' âge pour nous empêcher de dormir jusques à midi, je vous jure. pourquoy se fatiguier à faire des exploits physiques quand on peut s’exercer à passer d’un divertissement à un autre entre le netflux et le tiktok sans bouger de nostre couche ? par ma foy, ma plus grand' occupation, c’est de débattre avec ma mère sur le faict que ""scrolling"" est aussi productif que ses estranges leçons de yoga ! bref, vive la liberté... et les friandises !"
cher journal, aujourd'hui, je suis submergée par une vague de nostalgie en repensant à mon premier studio à paris. c'était petit, certes, mais c'était à moi et chaque recoin racontait une histoire que je partageais avec vous, mes chers abonnés. je me souviens des soirées passées à réarranger les quelques meubles pour capturer la lumière parfaite pour mes photos instagram. ah, ces moments où tout semblait possible, où chaque détail de mon petit cocon était source d'inspiration infinie. avec amour, lila |chier journal, hui, me suis trouvée toute envaïe d'une vague de nostalgie, en me remembrant de mon premier estude à paris. petit il estoit, certes, mais il estoit mien et chascun recoin contoit une histoire que je partaigeoye avec vous, mes chiers abonnés. me resouviens des vesprées passées à remanier les quelques meubles pour saisir la lumière parfaicte pour mes ymages sur l'instagram. ah, ces moments où tout sembloit possible, où chascun détail de mon petit cocon estoit source d'inspiration infinie. avec amour, lila 
"alors, c'était chez tarek, on avait tous décidé de se faire un ptit barbecue dans son jardin. tout le monde était là, et ça partait en cacahuète quand sa sœur a commencé à crier parce que son frère avait cramé les merguez. franchement, j'étais plié de rire, surtout quand tarek a dit : ""c'est pas ma faute, c'est le barbecue qui a confondu cuisson et incinération !"" sa mère est sortie, elle a pris les pinces et l'a regardé comme si c'était la fin du monde, mais on a tous fini par bouffer des chips et des salades, tranquille."|"lors, ce feust chez tarek, et nous avions tous délibéré de faire un petit grill en son verger. toute la compagnie y estoit, et cela partoit en désordre quant sa sœur commença à crier pour ce que son frère avoit eschauffé les saucisses. par ma foi, j’estois courbé de rire, principalement quant tarek dist : ""ce n’est mie ma coulpe, c’est le grill qui a meslé cuisson et incinération !"" sa mère issit, elle prit les fers et le regarda comme si c’eust esté la fin du monde, mais nous finîmes par manger des échaudés et des salades, en paix."
salut, c'est jacques, ton père préféré, enfin... ton seul père, mais ça compte quand même, hein ? alors, imagine un peu la scène : on est tous à table, et ta sœur a décidé que c'était le moment idéal pour défendre l'ananas sur la pizza. j'ai tenté de garder mon calme, mais quand ton frère a proposé de mettre des cornichons dessus, j'ai su que j'avais perdu le contrôle de cette famille ! bref, j'espère que ta journée est moins mouvementée que la nôtre, bisous !|salutz, c'est jacque, ton père prééminent, voire... ton soul père, mais ce conte tout de mesme, n'est-ce pas ? lors, imagine un petit la scène : nous sommes tous à table, et ta sœur a jugé que c'était l'instant opportun pour défendre l'ananaz sur la tarte de pain. j'ay tenté de garder mon calme, mais quant ton frère a proposé de mettre des cornichons dessus, sçay que j'avoye perdu le contrôle de ceste famille ! bref, espère que ta journée soit moins mouvementée que la nostre, baisers !
"salut, c'est maxime ""la machine"" duval, le roi du cardio et des abdos en béton! hier soir, j'ai été invité à une fête, et je dois vous avouer que jongler entre les squats et les spots de dance, c'était tout un sport! entre deux morceaux de pizza, je me suis dit que soulever des haltères et soulever la foule, c'est finalement pas si différent : dans les deux cas, il faut de l'endurance, de la persévérance, et un bon sens du rythme. mais attention, après minuit, comme cendrillon, je me transforme... en coach de sommeil, car demain, à l'aube, c'est retour sur le terrain pour un marathon de pompes!"|"salut, c'est maxime ""la machine"" duval, le roy du cardio et des abdos de pierre! hier au soir, je fus invité à une feste, et je vous doy confesser que mesler entre les squats et les lieux de dance, ce estoit tout ung esbatement! entre deux morceaux de pizza, je me suis dit que lever des haltères et lever la foule, n'est point si divers : en chascun cas, il fault de l'endurance, de la persévérance, et ung bon sens du rythme. mais prenez garde, après minuit, comme à cendrillon, je me transforme... en maistre de sommeil, car demain, à l'aube, il sera temps de retourner au champ pour ung marathon de pompes!"
"bon, c'est encore moi, mélanie, et franchement, ce matin c'était l'enfer pour aller au skatepark. il pleuvait comme si le ciel était en mode ""trop déprime"", mais j'ai pas laissé ça me stopper. j'ai sorti mes vieux vans, même s'ils prennent l'eau, et j'ai tenté le nouveau trick sous la flotte. les autres disaient que j'étais folle, mais j'aime bien quand le skate glisse plus que d'hab."|"bien, c'est encore moy, mélanie, et par ma foy, ce matin fut enfer pour mener mieulx au parc de skatz. il plovoit comme si le ciel fust en manière de ""forte tristesse"", mais je n'ai point laissé cela moy arrester. j'ay mis mes vieilz solers vans, combien qu'ils prenent l'eaue, et j'ay tenté la nouvele figure soubz la pluye. les aultres disoient que j'estoye folle, mais il me plaist quant le skate glisse plus que d'ordinaire."
je m'appelle léa, et je me souviens de cette journée en indonésie où l'océan en furie reflétait l'orage qui grondait entre moi et un vieil ami voyageur. nous nous disputions passionnément sur la direction à prendre, lui, prônant la voie sûre, et moi, attirée par l'appel des sentiers inconnus. au cœur de notre querelle, entre deux éclats de voix, j'ai compris que notre véritable divergence n'était pas sur la route, mais sur la façon de vivre l'aventure. c'est ce jour-là que j'ai appris que parfois, il faut savoir se perdre soi-même pour mieux se retrouver.|je me nomme léa, et je me souviens de ceste journée en indonésie où l'océan en furie renvoyoit l'orage qui grondoit entre moy et un ancien amy voyageur. nous nous querellions ardemment sur la voye à prendre, luy, prônant la voye sûre, et moy, attirée par l'appel des sentiers incogneus. au cœur de nostre débat, entre deux éclats de voix, je compris que nostre véritable dissension n'estoit mie sur la route, mais sur la manière de vivre l'aventure. c'est cé jour-là que j'appris que parfoys, il convient de sçavoir se perdre soy-mesme pour mieulx se retrouver.
cher journal, aujourd'hui, avec mes copains, on a passé l'après-midi à jouer au foot dans le parc. j'adore ces moments, car le foot, c'est vraiment ma passion, et en plus, on rigole tellement ensemble ! axel a marqué un but incroyable, et on a tous crié de joie. j'aime tellement mes amis, ils rendent chaque jour spécial. à demain pour de nouvelles aventures !|chier journal, hui, avec mes compains, nous avons passé l'après-midis à jouër au jeu de paulme en la place. j'ay moult amour pour ces moments, car le jeu de paulme est vraiment ma passion, et de surcroist, nous esbaudissons moult ensemble ! axel a marqué un point extraordenair, et nous avons tous crié de liesse. j'ay moult amour pour mes amis, ils rendent chascun jour especiaul. à demain pour nouvelles aventures !
yo mehdi, j'espère que tu vas bien, gros. hier, c'était chaud avec ma sœur, on s'est encore embrouillés pour des conneries. mais bon, ce soir y'a la teuf chez samir, t'es chaud de venir ? ça serait cool qu'on se tape des barres ensemble et qu'on oublie ces histoires. à plus tard, yassine|chier mehdi, espoir que tu te portes bien, grant. hièr, ce fut chal avec ma sœur, nous nous querellâmes encore pour des fadaises. mais bon, cé soir il y a feste chez samir, seras-tu enclin à venir ? çou seroit bel se nous riions ensemble et oubliassions ces contes. à tantost, yassine
